dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
15/03/2020,15,3,2020,733,3,Germany,DE,DEU,82927922,Europe
14/03/2020,14,3,2020,693,0,Germany,DE,DEU,82927922,Europe
13/03/2020,13,3,2020,802,2,Germany,DE,DEU,82927922,Europe
12/3/2020,12,3,2020,271,1,Germany,DE,DEU,82927922,Europe
11/3/2020,11,3,2020,157,0,Germany,DE,DEU,82927922,Europe
10/3/2020,10,3,2020,237,2,Germany,DE,DEU,82927922,Europe
9/3/2020,9,3,2020,55,0,Germany,DE,DEU,82927922,Europe
8/3/2020,8,3,2020,163,0,Germany,DE,DEU,82927922,Europe
7/3/2020,7,3,2020,284,0,Germany,DE,DEU,82927922,Europe
6/3/2020,6,3,2020,138,0,Germany,DE,DEU,82927922,Europe
5/3/2020,5,3,2020,66,0,Germany,DE,DEU,82927922,Europe
4/3/2020,4,3,2020,39,0,Germany,DE,DEU,82927922,Europe
3/3/2020,3,3,2020,28,0,Germany,DE,DEU,82927922,Europe
2/3/2020,2,3,2020,18,0,Germany,DE,DEU,82927922,Europe
1/3/2020,1,3,2020,54,0,Germany,DE,DEU,82927922,Europe
29/02/2020,29,2,2020,10,0,Germany,DE,DEU,82927922,Europe
28/02/2020,28,2,2020,26,0,Germany,DE,DEU,82927922,Europe
27/02/2020,27,2,2020,4,0,Germany,DE,DEU,82927922,Europe
26/02/2020,26,2,2020,2,0,Germany,DE,DEU,82927922,Europe
25/02/2020,25,2,2020,0,0,Germany,DE,DEU,82927922,Europe
24/02/2020,24,2,2020,0,0,Germany,DE,DEU,82927922,Europe
23/02/2020,23,2,2020,0,0,Germany,DE,DEU,82927922,Europe
22/02/2020,22,2,2020,0,0,Germany,DE,DEU,82927922,Europe
21/02/2020,21,2,2020,0,0,Germany,DE,DEU,82927922,Europe
20/02/2020,20,2,2020,0,0,Germany,DE,DEU,82927922,Europe
19/02/2020,19,2,2020,0,0,Germany,DE,DEU,82927922,Europe
18/02/2020,18,2,2020,0,0,Germany,DE,DEU,82927922,Europe
17/02/2020,17,2,2020,0,0,Germany,DE,DEU,82927922,Europe
16/02/2020,16,2,2020,0,0,Germany,DE,DEU,82927922,Europe
15/02/2020,15,2,2020,0,0,Germany,DE,DEU,82927922,Europe
14/02/2020,14,2,2020,0,0,Germany,DE,DEU,82927922,Europe
13/02/2020,13,2,2020,0,0,Germany,DE,DEU,82927922,Europe
12/2/2020,12,2,2020,2,0,Germany,DE,DEU,82927922,Europe
11/2/2020,11,2,2020,0,0,Germany,DE,DEU,82927922,Europe
10/2/2020,10,2,2020,0,0,Germany,DE,DEU,82927922,Europe
